Date,Region,Product,Quantity,Unit_Price,Unit_Cost,Revenue,Profit,Buyer_Type,Sales_Channel,Transaction_Type,Cashflow_Balance
2024-05-01,Zachodniopomorskie,Veterinary Visit + Meds,1.0,0.0,2708.0,0.0,-2708.0,Internal Expense,N/A,EXPENSE,-1514780.6
2024-05-01,Zachodniopomorskie,Agricultural Fuel (liter),109.1,0.0,5.8,0.0,-632.78,Internal Expense,N/A,EXPENSE,-1497274.39
2024-05-01,Zachodniopomorskie,Cattle Feed (kg),516.5,0.0,1.45,0.0,-748.92,Internal Expense,N/A,EXPENSE,-1498219.87
2024-05-01,Zachodniopomorskie,Cow Milk (HL),14.38,191.6953,81.9414,2756.58,1578.26,Agricultural Wholesale,Skup,INCOME,-1496641.61
2024-05-01,Zachodniopomorskie,Chicken Eggs (100 pcs),6.0,65.9356,32.3034,395.61,201.79,Agricultural Wholesale,Skup,INCOME,-1497072.6
2024-05-02,Zachodniopomorskie,Agricultural Fuel (liter),77.9,0.0,5.8,0.0,-451.82,Internal Expense,N/A,EXPENSE,-1496455.73
2024-05-02,Zachodniopomorskie,Cattle Feed (kg),871.2,0.0,1.45,0.0,-1263.24,Internal Expense,N/A,EXPENSE,-1497718.97
2024-05-02,Zachodniopomorskie,Cow Milk (HL),19.22,196.2717,79.6212,3772.34,2242.02,Agricultural Wholesale,Skup,INCOME,-1495476.95
2024-05-02,Zachodniopomorskie,Chicken Eggs (100 pcs),3.0,61.5278,35.7731,184.58,77.26,Food Wholesaler,Skup,INCOME,-1495399.69
2024-05-02,Zachodniopomorskie,Broiler Poultry (KG),79.9,4.8504,2.6752,387.55,173.8,Agricultural Wholesale,Skup,INCOME,-1495225.89
2024-05-03,Zachodniopomorskie,Agricultural Fuel (liter),56.9,0.0,5.8,0.0,-330.02,Internal Expense,N/A,EXPENSE,-1495555.91
2024-05-03,Zachodniopomorskie,Cattle Feed (kg),713.1,0.0,1.45,0.0,-1033.99,Internal Expense,N/A,EXPENSE,-1496589.9
2024-05-03,Zachodniopomorskie,Cow Milk (HL),12.02,191.5276,87.0792,2302.16,1255.47,Meat Factory,Skup,INCOME,-1495334.43
2024-05-03,Zachodniopomorskie,Chicken Eggs (100 pcs),6.0,57.1763,35.1903,343.06,131.92,Agricultural Wholesale,Skup,INCOME,-1495202.51
2024-05-03,Zachodniopomorskie,Beef Cattle (Highlander),3.0,6475.1905,3608.3474,19425.57,8600.53,Meat Factory,Skup,INCOME,-1486601.98
2024-05-04,Zachodniopomorskie,Agricultural Fuel (liter),78.3,0.0,5.8,0.0,-454.14,Internal Expense,N/A,EXPENSE,-1488131.6
2024-05-04,Zachodniopomorskie,Cattle Feed (kg),961.5,0.0,1.45,0.0,-1394.18,Internal Expense,N/A,EXPENSE,-1487996.16
2024-05-04,Zachodniopomorskie,Cow Milk (HL),14.68,193.2979,90.3589,2837.61,1511.14,Processing Plant,Skup,INCOME,-1486620.46
2024-05-04,Zachodniopomorskie,Chicken Eggs (100 pcs),6.0,61.5825,34.9789,369.5,159.63,Agricultural Wholesale,Skup,INCOME,-1487677.46
2024-05-04,Zachodniopomorskie,Broiler Poultry (KG),56.7,5.3198,2.5142,301.63,159.07,Food Wholesaler,Skup,INCOME,-1487837.09
2024-05-05,Zachodniopomorskie,Agricultural Fuel (liter),49.3,0.0,5.8,0.0,-285.94,Internal Expense,N/A,EXPENSE,-1486906.4
2024-05-05,Zachodniopomorskie,Cattle Feed (kg),879.9,0.0,1.45,0.0,-1275.86,Internal Expense,N/A,EXPENSE,-1488182.26
2024-05-05,Zachodniopomorskie,Cow Milk (HL),11.6,204.1661,79.8802,2368.33,1441.72,Food Wholesaler,Skup,INCOME,-1486740.54
2024-05-05,Zachodniopomorskie,Chicken Eggs (100 pcs),4.0,65.1841,33.7347,260.74,125.8,Food Wholesaler,Skup,INCOME,-1486614.74
2024-05-06,Zachodniopomorskie,Agricultural Fuel (liter),105.9,0.0,5.8,0.0,-614.22,Internal Expense,N/A,EXPENSE,-1487228.96
2024-05-06,Zachodniopomorskie,Cattle Feed (kg),592.8,0.0,1.45,0.0,-859.56,Internal Expense,N/A,EXPENSE,-1488088.52
2024-05-06,Zachodniopomorskie,Cow Milk (HL),19.36,202.1985,80.6679,3914.56,2352.83,Meat Factory,Skup,INCOME,-1485735.69
2024-05-06,Zachodniopomorskie,Chicken Eggs (100 pcs),3.0,62.9458,35.2718,188.84,83.02,Food Wholesaler,Skup,INCOME,-1485652.67
2024-05-07,Zachodniopomorskie,Agricultural Fuel (liter),59.2,0.0,5.8,0.0,-343.36,Internal Expense,N/A,EXPENSE,-1487017.77
2024-05-07,Zachodniopomorskie,Cattle Feed (kg),932.8,0.0,1.45,0.0,-1352.56,Internal Expense,N/A,EXPENSE,-1486674.41
2024-05-07,Zachodniopomorskie,Cow Milk (HL),18.85,196.3557,81.159,3701.3,2171.45,Food Wholesaler,Skup,INCOME,-1484846.32
2024-05-07,Zachodniopomorskie,Chicken Eggs (100 pcs),3.0,61.5382,34.6492,184.61,80.66,Food Wholesaler,Skup,INCOME,-1485572.01
2024-05-07,Zachodniopomorskie,Broiler Poultry (KG),94.6,5.403,2.7586,511.12,250.16,Agricultural Wholesale,Skup,INCOME,-1485321.85
2024-05-08,Zachodniopomorskie,Agricultural Fuel (liter),80.9,0.0,5.8,0.0,-469.22,Internal Expense,Skup,EXPENSE,-1485315.54
2024-05-08,Zachodniopomorskie,Cattle Feed (kg),1163.5,0.0,1.45,0.0,-1687.08,Internal Expense,N/A,EXPENSE,-1487002.62
2024-05-08,Zachodniopomorskie,Cow Milk (HL),15.33,187.4886,83.8441,2874.2,1588.87,Processing Plant,Skup,INCOME,-1485413.75
2024-05-08,Zachodniopomorskie,Chicken Eggs (100 pcs),1.0,83.9226,34.3596,83.92,49.56,Farmer's Market,Skup,INCOME,-1485364.19
2024-05-09,Zachodniopomorskie,Agricultural Fuel (liter),84.3,0.0,5.8,0.0,-488.94,Internal Expense,N/A,EXPENSE,-1485853.13
2024-05-09,Zachodniopomorskie,Cattle Feed (kg),930.3499999999999,0.0,1.45,0.0,-1349.01,Internal Expense,N/A,EXPENSE,-1487202.14
2024-05-09,Zachodniopomorskie,Cow Milk (HL),15.56,203.7755,82.7243,3170.75,1883.56,Meat Factory,Skup,INCOME,-1485318.58
2024-05-09,Zachodniopomorskie,Chicken Eggs (100 pcs),4.0,59.2281,35.612,236.91,94.46,Processing Plant,Skup,INCOME,-1485224.12
2024-05-09,Zachodniopomorskie,Broiler Poultry (KG),126.6,5.3407,2.4729,676.13,363.06,Meat Factory,Skup,INCOME,-1484861.06
2024-05-10,Zachodniopomorskie,Agricultural Fuel (liter),112.1,0.0,5.8,0.0,-650.18,Internal Expense,N/A,EXPENSE,-1484314.7
2024-05-10,Zachodniopomorskie,Cattle Feed (kg),612.6,0.0,1.45,0.0,-888.27,Internal Expense,N/A,EXPENSE,-1483664.52
2024-05-10,Zachodniopomorskie,Cow Milk (HL),16.82,198.9651,83.8244,3346.59,1936.66,Food Wholesaler,Skup,INCOME,-1482776.25
2024-05-10,Zachodniopomorskie,Chicken Eggs (100 pcs),5.0,64.4454,34.8152,322.23,148.15,Food Wholesaler,Skup,INCOME,-1484712.91
2024-05-11,Zachodniopomorskie,Agricultural Fuel (liter),44.9,0.0,5.8,0.0,-260.42,Internal Expense,N/A,EXPENSE,-1484575.12
2024-05-11,Zachodniopomorskie,Cattle Feed (kg),1059.2,0.0,1.45,0.0,-1535.84,Internal Expense,N/A,EXPENSE,-1486110.96
2024-05-11,Zachodniopomorskie,Cow Milk (HL),16.82,217.5516,90.1167,3659.22,2143.46,Processing Plant,Skup,INCOME,-1483967.5
2024-05-11,Zachodniopomorskie,Chicken Eggs (100 pcs),1.0,83.0572,32.7517,83.06,50.31,Private Individual,RHD,INCOME,-1483917.19
2024-05-11,Zachodniopomorskie,Broiler Poultry (KG),70.7,5.4582,2.858,385.89,183.83,Processing Plant,Skup,INCOME,-1483733.36
2024-05-12,Zachodniopomorskie,Agricultural Fuel (liter),106.5,0.0,5.8,0.0,-617.7,Internal Expense,N/A,EXPENSE,-1484351.06
2024-05-12,Zachodniopomorskie,Cattle Feed (kg),1181.0,0.0,1.45,0.0,-1712.45,Internal Expense,N/A,EXPENSE,-1486063.51
2024-05-12,Zachodniopomorskie,Cow Milk (HL),13.64,194.8488,87.3007,2657.74,1466.96,Agricultural Wholesale,Skup,INCOME,-1484596.55
2024-05-12,Zachodniopomorskie,Chicken Eggs (100 pcs),2.0,85.8712,35.7958,171.74,100.15,Local Restaurant,Skup,INCOME,-1484496.4
2024-05-13,Zachodniopomorskie,Agricultural Fuel (liter),54.1,0.0,5.8,0.0,-313.78,Internal Expense,N/A,EXPENSE,-1475629.8
2024-05-13,Zachodniopomorskie,Cattle Feed (kg),636.2,0.0,1.45,0.0,-922.49,Internal Expense,N/A,EXPENSE,-1476552.29
2024-05-13,Zachodniopomorskie,Cow Milk (HL),18.63,216.2449,85.9116,4028.64,2428.11,Agricultural Wholesale,Skup,INCOME,-1474124.18
2024-05-13,Zachodniopomorskie,Chicken Eggs (100 pcs),5.0,57.6737,35.5564,288.37,110.59,Meat Factory,Skup,INCOME,-1475316.02
2024-05-13,Zachodniopomorskie,Beef Cattle (Highlander),3.0,6540.8978,3517.6334,19622.69,9069.79,Food Wholesaler,Skup,INCOME,-1475426.61
2024-05-14,Zachodniopomorskie,Agricultural Fuel (liter),114.9,0.0,5.8,0.0,-666.42,Internal Expense,N/A,EXPENSE,-1474790.6
2024-05-14,Zachodniopomorskie,Cattle Feed (kg),649.5,0.0,1.45,0.0,-941.78,Internal Expense,N/A,EXPENSE,-1475732.38
2024-05-14,Zachodniopomorskie,Cow Milk (HL),16.03,205.3444,81.8459,3291.67,1979.68,Meat Factory,Skup,INCOME,-1473752.7
2024-05-14,Zachodniopomorskie,Chicken Eggs (100 pcs),4.0,58.7854,32.8402,235.14,103.78,Agricultural Wholesale,Skup,INCOME,-1473648.92
2024-05-14,Zachodniopomorskie,Broiler Poultry (KG),139.3,5.1616,2.762,719.01,334.26,Food Wholesaler,Skup,INCOME,-1473314.66
2024-05-15,Zachodniopomorskie,Agricultural Fuel (liter),82.8,0.0,5.8,0.0,-480.24,Internal Expense,N/A,EXPENSE,-1473794.9
2024-05-15,Zachodniopomorskie,Cattle Feed (kg),761.5,0.0,1.45,0.0,-1104.18,Internal Expense,N/A,EXPENSE,-1474899.08
2024-05-15,Zachodniopomorskie,Cow Milk (HL),15.99,188.2949,83.2711,3010.84,1679.34,Processing Plant,Skup,INCOME,-1473219.74
2024-05-15,Zachodniopomorskie,Chicken Eggs (100 pcs),5.0,65.3155,33.83,326.58,157.43,Food Wholesaler,Skup,INCOME,-1473062.31
2024-05-16,Zachodniopomorskie,Agricultural Fuel (liter),45.9,0.0,5.8,0.0,-266.22,Internal Expense,N/A,EXPENSE,-1472850.3
2024-05-16,Zachodniopomorskie,Cattle Feed (kg),791.3,0.0,1.45,0.0,-1147.38,Internal Expense,N/A,EXPENSE,-1473997.68
2024-05-16,Zachodniopomorskie,Cow Milk (HL),17.83,210.187,87.7941,3747.63,2182.26,Meat Factory,Skup,INCOME,-1471815.42
2024-05-16,Zachodniopomorskie,Chicken Eggs (100 pcs),6.0,66.0974,33.7961,396.58,193.8,Food Wholesaler,Skup,INCOME,-1472584.08
2024-05-16,Zachodniopomorskie,Broiler Poultry (KG),127.3,4.7534,2.5191,605.11,284.43,Food Wholesaler,Skup,INCOME,-1472777.88
2024-05-17,Zachodniopomorskie,Agricultural Fuel (liter),63.0,0.0,5.8,0.0,-365.4,Internal Expense,N/A,EXPENSE,-1472032.47
2024-05-17,Zachodniopomorskie,Cattle Feed (kg),702.6,0.0,1.45,0.0,-1018.77,Internal Expense,N/A,EXPENSE,-1473051.24
2024-05-17,Zachodniopomorskie,Cow Milk (HL),14.17,194.5967,82.7482,2757.44,1584.9,Agricultural Wholesale,Skup,INCOME,-1471466.34
2024-05-17,Zachodniopomorskie,Chicken Eggs (100 pcs),5.0,65.0536,35.3847,325.27,148.35,Processing Plant,Skup,INCOME,-1471667.07
2024-05-18,Zachodniopomorskie,Agricultural Fuel (liter),122.5,0.0,5.8,0.0,-710.5,Internal Expense,N/A,EXPENSE,-1469989.27
2024-05-18,Zachodniopomorskie,Cattle Feed (kg),489.9,0.0,1.45,0.0,-710.35,Internal Expense,N/A,EXPENSE,-1470699.62
2024-05-18,Zachodniopomorskie,Cow Milk (HL),18.76,196.3558,88.3949,3683.63,2025.34,Processing Plant,Skup,INCOME,-1469441.0
2024-05-18,Zachodniopomorskie,Chicken Eggs (100 pcs),4.0,60.6536,35.7113,242.61,99.76,Agricultural Wholesale,Skup,INCOME,-1470599.86
2024-05-18,Zachodniopomorskie,Broiler Poultry (KG),57.9,5.3258,2.5238,308.36,162.23,Processing Plant,Skup,INCOME,-1469278.77
2024-05-19,Zachodniopomorskie,Agricultural Fuel (liter),112.1,0.0,5.8,0.0,-650.18,Internal Expense,N/A,EXPENSE,-1471250.04
2024-05-19,Zachodniopomorskie,Cattle Feed (kg),748.5,0.0,1.45,0.0,-1085.32,Internal Expense,N/A,EXPENSE,-1472335.36
2024-05-19,Zachodniopomorskie,Cow Milk (HL),14.85,189.1205,87.6222,2808.44,1507.25,Agricultural Wholesale,Skup,INCOME,-1470828.11
2024-05-19,Zachodniopomorskie,Chicken Eggs (100 pcs),3.0,64.5469,31.6446,193.64,98.71,Meat Factory,Skup,INCOME,-1470729.4
2024-05-20,Zachodniopomorskie,Agricultural Fuel (liter),76.5,0.0,5.8,0.0,-443.7,Internal Expense,N/A,EXPENSE,-1471173.1
2024-05-20,Zachodniopomorskie,Cattle Feed (kg),761.9,0.0,1.45,0.0,-1104.75,Internal Expense,N/A,EXPENSE,-1472277.85
2024-05-20,Zachodniopomorskie,Cow Milk (HL),13.13,193.8351,82.0534,2545.05,1467.69,Agricultural Wholesale,Skup,INCOME,-1470810.16
2024-05-20,Zachodniopomorskie,Chicken Eggs (100 pcs),4.0,63.9987,34.088,255.99,119.64,Processing Plant,Skup,INCOME,-1470690.52
2024-05-21,Zachodniopomorskie,Agricultural Fuel (liter),109.7,0.0,5.8,0.0,-636.26,Internal Expense,N/A,EXPENSE,-1468893.21
2024-05-21,Zachodniopomorskie,Cattle Feed (kg),1146.5,0.0,1.45,0.0,-1662.42,Internal Expense,N/A,EXPENSE,-1470555.63
2024-05-21,Zachodniopomorskie,Cow Milk (HL),19.39,190.2502,89.6841,3688.95,1949.98,Agricultural Wholesale,Skup,INCOME,-1468392.05
2024-05-21,Zachodniopomorskie,Chicken Eggs (100 pcs),5.0,62.7529,35.7313,313.76,135.1,Meat Factory,Skup,INCOME,-1468256.95
2024-05-21,Zachodniopomorskie,Broiler Poultry (KG),118.3,5.5305,2.5847,654.26,348.49,Agricultural Wholesale,Skup,INCOME,-1470342.03
2024-05-22,Zachodniopomorskie,Agricultural Fuel (liter),72.3,0.0,5.8,0.0,-419.34,Internal Expense,N/A,EXPENSE,-1470974.97
2024-05-22,Zachodniopomorskie,Cattle Feed (kg),1283.9,0.0,1.45,0.0,-1861.66,Internal Expense,N/A,EXPENSE,-1472836.63
2024-05-22,Zachodniopomorskie,Cow Milk (HL),18.82,215.8003,81.7982,4061.36,2521.92,Food Wholesaler,Skup,INCOME,-1470314.71
2024-05-22,Zachodniopomorskie,Chicken Eggs (100 pcs),6.0,57.0972,33.7516,342.58,140.07,Processing Plant,Skup,INCOME,-1470174.64
2024-05-23,Zachodniopomorskie,Agricultural Fuel (liter),72.6,0.0,5.8,0.0,-421.08,Internal Expense,N/A,EXPENSE,-1470595.72
2024-05-23,Zachodniopomorskie,Cattle Feed (kg),852.1,0.0,1.45,0.0,-1235.54,Internal Expense,N/A,EXPENSE,-1471831.26
2024-05-23,Zachodniopomorskie,Cow Milk (HL),15.49,201.1831,86.5666,3116.33,1775.41,Agricultural Wholesale,Skup,INCOME,-1470055.85
2024-05-23,Zachodniopomorskie,Chicken Eggs (100 pcs),1.0,82.0678,35.9502,82.07,46.12,Farmer's Market,RHD,INCOME,-1470009.73
2024-05-23,Zachodniopomorskie,Broiler Poultry (KG),91.3,5.094,2.7559,465.08,213.47,Food Wholesaler,Skup,INCOME,-1469796.26
2024-05-24,Zachodniopomorskie,Agricultural Fuel (liter),74.0,0.0,5.8,0.0,-429.2,Internal Expense,N/A,EXPENSE,-1467603.61
2024-05-24,Zachodniopomorskie,Cattle Feed (kg),1208.6,0.0,1.45,0.0,-1752.47,Internal Expense,N/A,EXPENSE,-1469356.08
2024-05-24,Zachodniopomorskie,Cow Milk (HL),19.92,215.071,89.1261,4284.21,2508.82,Meat Factory,Skup,INCOME,-1467174.41
2024-05-24,Zachodniopomorskie,Chicken Eggs (100 pcs),5.0,58.6005,35.9941,293.0,113.03,Agricultural Wholesale,Skup,INCOME,-1469683.23
2024-05-25,Zachodniopomorskie,Agricultural Fuel (liter),45.9,0.0,5.8,0.0,-266.22,Internal Expense,N/A,EXPENSE,-1469622.3
2024-05-25,Zachodniopomorskie,Cattle Feed (kg),590.8,0.0,1.45,0.0,-856.66,Internal Expense,N/A,EXPENSE,-1470478.96
2024-05-25,Zachodniopomorskie,Cow Milk (HL),16.55,188.9103,89.2803,3126.47,1648.88,Agricultural Wholesale,Skup,INCOME,-1468830.08
2024-05-25,Zachodniopomorskie,Chicken Eggs (100 pcs),1.0,79.8512,35.0267,79.85,44.82,Farmer's Market,RHD,INCOME,-1468785.26
2024-05-25,Zachodniopomorskie,Broiler Poultry (KG),34.4,6.4426,2.89,221.63,122.21,Eco-Shop,RHD,INCOME,-1468663.05
2024-05-26,Zachodniopomorskie,Agricultural Fuel (liter),102.5,0.0,5.8,0.0,-594.5,Internal Expense,N/A,EXPENSE,-1469257.55
2024-05-26,Zachodniopomorskie,Cattle Feed (kg),610.6,0.0,1.45,0.0,-885.37,Internal Expense,N/A,EXPENSE,-1470142.92
2024-05-26,Zachodniopomorskie,Cow Milk (HL),16.82,202.2547,87.4366,3401.92,1931.24,Agricultural Wholesale,Skup,INCOME,-1468211.68
2024-05-26,Zachodniopomorskie,Chicken Eggs (100 pcs),4.0,59.9712,34.8711,239.88,100.4,Agricultural Wholesale,Skup,INCOME,-1468111.28
2024-05-27,Zachodniopomorskie,Agricultural Fuel (liter),76.3,0.0,5.8,0.0,-442.54,Internal Expense,N/A,EXPENSE,-1466959.25
2024-05-27,Zachodniopomorskie,Cattle Feed (kg),934.2,0.0,1.45,0.0,-1354.59,Internal Expense,N/A,EXPENSE,-1468313.84
2024-05-27,Zachodniopomorskie,Cow Milk (HL),12.77,203.792,86.3018,2602.42,1500.35,Meat Factory,Skup,INCOME,-1466516.71
2024-05-27,Zachodniopomorskie,Chicken Eggs (100 pcs),3.0,65.1681,33.7604,195.5,94.22,Processing Plant,Skup,INCOME,-1468017.06
2024-05-28,Zachodniopomorskie,Agricultural Fuel (liter),72.7,0.0,5.8,0.0,-421.66,Internal Expense,N/A,EXPENSE,-1468735.5
2024-05-28,Zachodniopomorskie,Cattle Feed (kg),824.6,0.0,1.45,0.0,-1195.67,Internal Expense,N/A,EXPENSE,-1469931.17
2024-05-28,Zachodniopomorskie,Cow Milk (HL),19.84,207.2487,83.2165,4111.81,2460.79,Agricultural Wholesale,Skup,INCOME,-1467470.38
2024-05-28,Zachodniopomorskie,Chicken Eggs (100 pcs),4.0,60.1945,32.2025,240.78,111.97,Processing Plant,Skup,INCOME,-1467358.41
2024-05-28,Zachodniopomorskie,Broiler Poultry (KG),82.5,5.3194,2.7247,438.85,214.06,Meat Factory,Skup,INCOME,-1467144.35
2024-05-29,Zachodniopomorskie,Agricultural Fuel (liter),111.5,0.0,5.8,0.0,-646.7,Internal Expense,N/A,EXPENSE,-1467791.05
2024-05-29,Zachodniopomorskie,Cattle Feed (kg),1097.5,0.0,1.45,0.0,-1591.38,Internal Expense,N/A,EXPENSE,-1469382.43
2024-05-29,Zachodniopomorskie,Cow Milk (HL),15.04,197.4233,84.9397,2969.25,1691.76,Food Wholesaler,Skup,INCOME,-1467690.67
2024-05-29,Zachodniopomorskie,Chicken Eggs (100 pcs),2.0,85.5596,33.132,171.12,104.86,Private Individual,RHD,INCOME,-1467585.81
